,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2023-08-19,20:45,Serie A,Matchweek 1,Sat,Home,W,2.0,0.0,Monza,2.7,0.8,47.0,,Lautaro Martínez,3-5-2,Andrea Colombo,Match Report,,22.0,3.0,17.2,1.0,0,0,2024,Internazionale
1,2023-08-28,20:45,Serie A,Matchweek 2,Mon,Away,W,2.0,0.0,Cagliari,0.9,0.6,67.0,,Lautaro Martínez,3-5-2,Michael Fabbri,Match Report,,17.0,3.0,15.9,0.0,0,0,2024,Internazionale
2,2023-09-03,18:30,Serie A,Matchweek 3,Sun,Home,W,4.0,0.0,Fiorentina,3.7,0.4,40.0,,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,,20.0,10.0,14.5,1.0,1,1,2024,Internazionale
3,2023-09-16,18:00,Serie A,Matchweek 4,Sat,Home,W,5.0,1.0,Milan,2.6,1.1,41.0,,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,,13.0,6.0,15.2,1.0,1,1,2024,Internazionale
5,2023-09-24,12:30,Serie A,Matchweek 5,Sun,Away,W,1.0,0.0,Empoli,1.6,0.3,61.0,,Lautaro Martínez,3-5-2,Matteo Marcenaro,Match Report,,23.0,5.0,16.8,0.0,0,0,2024,Internazionale
6,2023-09-27,20:45,Serie A,Matchweek 6,Wed,Home,L,1.0,2.0,Sassuolo,0.9,1.0,63.0,,Lautaro Martínez,3-5-2,Luca Massimi,Match Report,,13.0,3.0,15.2,0.0,0,0,2024,Internazionale
7,2023-09-30,20:45,Serie A,Matchweek 7,Sat,Away,W,4.0,0.0,Salernitana,2.3,0.6,64.0,,Nicolò Barella,3-5-2,Rosario Abisso,Match Report,,15.0,5.0,16.8,1.0,1,1,2024,Internazionale
9,2023-10-07,15:00,Serie A,Matchweek 8,Sat,Home,D,2.0,2.0,Bologna,0.7,1.3,63.0,,Lautaro Martínez,3-5-2,Marco Guida,Match Report,,14.0,5.0,18.3,1.0,0,0,2024,Internazionale
10,2023-10-21,18:00,Serie A,Matchweek 9,Sat,Away,W,3.0,0.0,Torino,2.5,0.4,53.0,,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,,13.0,3.0,17.1,1.0,1,1,2024,Internazionale
12,2023-10-29,18:00,Serie A,Matchweek 10,Sun,Home,W,1.0,0.0,Roma,2.2,0.1,63.0,75573.0,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,,19.0,3.0,16.0,0.0,0,0,2024,Internazionale
13,2023-11-04,18:00,Serie A,Matchweek 11,Sat,Away,W,2.0,1.0,Atalanta,1.3,1.0,46.0,,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,,9.0,3.0,23.0,1.0,1,1,2024,Internazionale
15,2023-11-12,20:45,Serie A,Matchweek 12,Sun,Home,W,2.0,0.0,Frosinone,3.1,0.7,47.0,,Lautaro Martínez,3-5-2,Federico Dionisi,Match Report,,20.0,5.0,19.6,1.0,1,1,2024,Internazionale
16,2023-11-26,20:45,Serie A,Matchweek 13,Sun,Away,D,1.0,1.0,Juventus,0.9,0.4,65.0,,Lautaro Martínez,3-5-2,Marco Guida,Match Report,,8.0,4.0,16.4,0.0,0,0,2024,Internazionale
0,2023-08-20,20:45,Serie A,Matchweek 1,Sun,Away,W,3.0,0.0,Udinese,1.8,1.0,51.0,,Danilo,3-1-4-2,Antonio Rapuano,Match Report,,8.0,3.0,17.0,0.0,1,1,2024,Juventus
1,2023-08-27,18:30,Serie A,Matchweek 2,Sun,Home,D,1.0,1.0,Bologna,0.8,0.5,58.0,,Danilo,3-1-4-2,Marco Di Bello,Match Report,,14.0,3.0,18.0,1.0,0,0,2024,Juventus
2,2023-09-03,20:45,Serie A,Matchweek 3,Sun,Away,W,2.0,0.0,Empoli,2.7,0.3,50.0,,Danilo,3-5-2,Giovanni Ayroldi,Match Report,,17.0,4.0,17.6,0.0,0,1,2024,Juventus
3,2023-09-16,15:00,Serie A,Matchweek 4,Sat,Home,W,3.0,1.0,Lazio,2.2,0.6,36.0,,Danilo,3-1-4-2,Fabio Maresca,Match Report,,17.0,7.0,12.8,0.0,0,0,2024,Juventus
4,2023-09-23,18:00,Serie A,Matchweek 5,Sat,Away,L,2.0,4.0,Sassuolo,1.2,1.6,57.0,,Danilo,3-1-4-2,Andrea Colombo,Match Report,,15.0,2.0,18.2,1.0,0,0,2024,Juventus
5,2023-09-26,20:45,Serie A,Matchweek 6,Tue,Home,W,1.0,0.0,Lecce,1.4,0.1,50.0,,Danilo,3-1-4-2,Antonio Giua,Match Report,,15.0,5.0,18.2,0.0,0,0,2024,Juventus
6,2023-10-01,18:00,Serie A,Matchweek 7,Sun,Away,D,0.0,0.0,Atalanta,0.2,1.2,48.0,,Danilo,3-1-4-2,Daniele Chiffi,Match Report,,5.0,3.0,22.3,1.0,0,0,2024,Juventus
7,2023-10-07,18:00,Serie A,Matchweek 8,Sat,Home,W,2.0,0.0,Torino,1.9,0.6,50.0,,Danilo,3-5-2,Davide Massa,Match Report,,17.0,5.0,15.1,0.0,0,0,2024,Juventus
8,2023-10-22,20:45,Serie A,Matchweek 9,Sun,Away,W,1.0,0.0,Milan,1.4,0.3,48.0,,Adrien Rabiot,3-5-2,Maurizio Mariani,Match Report,,14.0,4.0,19.5,1.0,0,0,2024,Juventus
9,2023-10-28,20:45,Serie A,Matchweek 10,Sat,Home,W,1.0,0.0,Hellas Verona,3.3,0.3,54.0,,Adrien Rabiot,3-5-2,Ermanno Feliciani,Match Report,,30.0,5.0,17.8,0.0,0,0,2024,Juventus
10,2023-11-05,20:45,Serie A,Matchweek 11,Sun,Away,W,1.0,0.0,Fiorentina,0.7,0.7,32.0,,Adrien Rabiot,3-5-2,Daniele Chiffi,Match Report,,4.0,3.0,12.3,0.0,0,0,2024,Juventus
11,2023-11-11,18:00,Serie A,Matchweek 12,Sat,Home,W,2.0,1.0,Cagliari,2.3,0.6,49.0,,Manuel Locatelli,3-5-2,Marco Piccinini,Match Report,,18.0,4.0,14.1,1.0,0,0,2024,Juventus
12,2023-11-26,20:45,Serie A,Matchweek 13,Sun,Home,D,1.0,1.0,Inter,0.4,0.9,35.0,,Adrien Rabiot,5-3-2,Marco Guida,Match Report,,4.0,1.0,19.8,0.0,0,0,2024,Juventus
0,2023-08-21,20:45,Serie A,Matchweek 1,Mon,Away,W,2.0,0.0,Bologna,0.9,1.0,47.0,,Davide Calabria,4-3-3,Luca Pairetto,Match Report,,9.0,5.0,15.7,0.0,0,0,2024,Milan
